"","X1","school","year","coaches","wins","talent","color","conference"
"533",530,"Indiana",2017,"Tom Allen",5,"547.92","#7D110C","Big Ten"
"534",531,"Indiana",2018,"Tom Allen",5,"564.04","#7D110C","Big Ten"
"535",532,"Indiana",2019,"Tom Allen",8,"603.81","#7D110C","Big Ten"
"536",NA,"Rutgers",2015,"Kyle Flood, Norries Wilson",4,"602.35","#d21034","Big Ten"
"537",533,"Rutgers",2016,"Chris Ash",2,"585.47","#d21034","Big Ten"
"538",534,"Rutgers",2017,"Chris Ash",4,"574.78","#d21034","Big Ten"
"539",535,"Rutgers",2018,"Chris Ash",1,"555.24","#d21034","Big Ten"
"540",536,"Rutgers",2019,"Chris Ash, Nunzio Campanile",2,"587.28","#d21034","Big Ten"
"541",NA,"Syracuse",2015,"Scott Shafer",4,"508.80","#F37321","ACC"
"542",537,"Syracuse",2016,"Dino Babers",4,"520.26","#F37321","ACC"
"543",538,"Syracuse",2017,"Dino Babers",4,"539.60","#F37321","ACC"
"544",539,"Syracuse",2018,"Dino Babers",10,"570.20","#F37321","ACC"
"545",540,"Syracuse",2019,"Dino Babers",5,"574.82","#F37321","ACC"
"546",NA,"Iowa State",2015,"Paul Rhoads",3,"529.12","#660015","Big 12"
"547",541,"Iowa State",2016,"Matt Campbell",3,"552.17","#660015","Big 12"
"548",542,"Iowa State",2017,"Matt Campbell",8,"559.34","#660015","Big 12"
"549",543,"Iowa State",2018,"Matt Campbell",8,"575.76","#660015","Big 12"
"550",544,"Iowa State",2019,"Matt Campbell",7,"597.15","#660015","Big 12"
"551",NA,"Tulane",2015,"Curtis Johnson",3,"408.22","#005837","American Athletic"
"552",545,"Tulane",2016,"Willie Fritz",4,"388.04","#005837","American Athletic"
"553",546,"Tulane",2017,"Willie Fritz",5,"396.43","#005837","American Athletic"
"554",547,"Tulane",2018,"Willie Fritz",7,"445.36","#005837","American Athletic"
"555",548,"Tulane",2019,"Willie Fritz",7,"486.98","#005837","American Athletic"
"556",NA,"Southern Mississippi",2015,"Todd Monken",9,"470.84","#FFAA3C","Conference USA"
"557",549,"Southern Mississippi",2016,"Jay Hopson",7,"441.29","#FFAA3C","Conference USA"
"558",550,"Southern Mississippi",2017,"Jay Hopson",8,"394.24","#FFAA3C","Conference USA"
"559",551,"Southern Mississippi",2018,"Jay Hopson",6,"387.32","#FFAA3C","Conference USA"
"560",552,"Southern Mississippi",2019,"Jay Hopson",7,"456.29","#FFAA3C","Conference USA"
"561",NA,"Virginia",2015,"Mike London",4,"667.05","#00204e","ACC"
"562",553,"Virginia",2016,"Bronco Mendenhall",2,"618.91","#00204e","ACC"
"563",554,"Virginia",2017,"Bronco Mendenhall",6,"603.88","#00204e","ACC"
"564",555,"Virginia",2018,"Bronco Mendenhall",8,"542.40","#00204e","ACC"
"565",556,"Virginia",2019,"Bronco Mendenhall",9,"580.28","#00204e","ACC"
"566",NA,"East Carolina",2015,"Ruffin McNeill",5,"403.62","#4b1869","American Athletic"
"567",557,"East Carolina",2016,"Scottie Montgomery",3,"442.26","#4b1869","American Athletic"
"568",558,"East Carolina",2017,"Scottie Montgomery",3,"471.10","#4b1869","American Athletic"
"569",559,"East Carolina",2018,"David Blackwell, Scottie Montgomery",3,"434.48","#4b1869","American Athletic"
"570",560,"East Carolina",2019,"Mike Houston",4,"468.23","#4b1869","American Athletic"
"571",NA,"Ball State",2015,"Pete Lembo",3,"349.94","#DA0000","Mid-American"
"572",561,"Ball State",2016,"Mike Neu",4,"365.94","#DA0000","Mid-American"
"573",562,"Ball State",2017,"Mike Neu",2,"318.17","#DA0000","Mid-American"
"574",563,"Ball State",2018,"Mike Neu",4,"362.10","#DA0000","Mid-American"
"575",564,"Ball State",2019,"Mike Neu",5,"327.92","#DA0000","Mid-American"
"576",NA,"Hawai'i",2015,"Norm Chow, Chris Naeole",3,"385.63","#003420","Mountain West"
"577",565,"Hawai'i",2016,"Nick Rolovich",7,"384.97","#003420","Mountain West"
"578",566,"Hawai'i",2017,"Nick Rolovich",3,"330.56","#003420","Mountain West"
"579",567,"Hawai'i",2018,"Nick Rolovich",8,"343.97","#003420","Mountain West"
"580",568,"Hawai'i",2019,"Nick Rolovich",10,"420.99","#003420","Mountain West"
"581",NA,"Louisiana Monroe",2015,"Todd Berry, John Mumford",2,"292.73","#231F20","Sun Belt"
"582",569,"Louisiana Monroe",2016,"Matt Viator",4,"322.82","#231F20","Sun Belt"
"583",570,"Louisiana Monroe",2017,"Matt Viator",4,"303.96","#231F20","Sun Belt"
"584",571,"Louisiana Monroe",2018,"Matt Viator",6,"326.66","#231F20","Sun Belt"
"585",572,"Louisiana Monroe",2019,"Matt Viator",5,"346.03","#231F20","Sun Belt"
"586",NA,"San Jos<e9> State",2015,"Ron Caragher",6,NA,NA,NA
"587",NA,"San Jos<e9> State",2016,"Ron Caragher",4,NA,NA,NA
"588",573,"San Jos<e9> State",2017,"Brent Brennan",2,NA,NA,NA
"589",574,"San Jos<e9> State",2018,"Brent Brennan",1,NA,NA,NA
"590",575,"San Jos<e9> State",2019,"Brent Brennan",5,NA,NA,NA
"591",NA,"Purdue",2015,"Darrell Hazell",2,"534.26","#B89D29","Big Ten"
"592",NA,"Purdue",2016,"Darrell Hazell, Gerad Parker",3,"512.72","#B89D29","Big Ten"
"593",576,"Purdue",2017,"Jeff Brohm",7,"502.71","#B89D29","Big Ten"
"594",577,"Purdue",2018,"Jeff Brohm",6,"520.48","#B89D29","Big Ten"
"595",578,"Purdue",2019,"Jeff Brohm",4,"607.40","#B89D29","Big Ten"
"596",NA,"Coastal Carolina",2015,"Joe Moglia",9,"41.50","#007073","Sun Belt"
"597",NA,"Coastal Carolina",2016,"Joe Moglia",10,"71.67","#007073","Sun Belt"
"598",579,"Coastal Carolina",2017,"Jamey Chadwell",3,"119.43","#007073","Sun Belt"
"599",580,"Coastal Carolina",2018,"Joe Moglia",5,"284.24","#007073","Sun Belt"
"600",581,"Coastal Carolina",2019,"Jamey Chadwell",5,"305.73","#007073","Sun Belt"
"601",582,"UAB",2017,"Bill Clark",8,"170.05","#003b28","Conference USA"
"602",583,"UAB",2018,"Bill Clark",11,"387.71","#003b28","Conference USA"
"603",584,"UAB",2019,"Bill Clark",9,"441.81","#003b28","Conference USA"
"604",NA,"Connecticut",2015,"Bob Diaco",6,"402.23","#001d40","American Athletic"
"605",NA,"Connecticut",2016,"Bob Diaco",3,"423.56","#001d40","American Athletic"
"606",585,"Connecticut",2017,"Randy Edsall",3,"420.17","#001d40","American Athletic"
"607",NA,"Connecticut",2018,"Randy Edsall",1,"389.20","#001d40","American Athletic"
"608",585,"Connecticut",2019,"Randy Edsall",2,"412.55","#001d40","American Athletic"
"609",NA,"Georgia State",2015,"Trent Miles",6,"335.67","#1e539a","Sun Belt"
"610",NA,"Georgia State",2016,"Trent Miles, Tim Lappano",3,"321.79","#1e539a","Sun Belt"
"611",586,"Georgia State",2017,"Shawn Elliott",7,"364.16","#1e539a","Sun Belt"
"612",587,"Georgia State",2018,"Shawn Elliott",2,"404.34","#1e539a","Sun Belt"
"613",588,"Georgia State",2019,"Shawn Elliott",7,"369.05","#1e539a","Sun Belt"
"614",NA,"Florida Atlantic",2015,"Charlie Partridge",3,"401.61","#004B85","Conference USA"
"615",NA,"Florida Atlantic",2016,"Charlie Partridge",3,"408.40","#004B85","Conference USA"
"616",589,"Florida Atlantic",2017,"Lane Kiffin",11,"470.88","#004B85","Conference USA"
"617",590,"Florida Atlantic",2018,"Lane Kiffin",5,"537.93","#004B85","Conference USA"
"618",591,"Florida Atlantic",2019,"Lane Kiffin",11,"524.02","#004B85","Conference USA"
"619",NA,"Ole Miss",2015,"Hugh Freeze",10,"764.34","#001148","SEC"
"620",NA,"Ole Miss",2016,"Hugh Freeze",0,"808.15","#001148","SEC"
"621",592,"Ole Miss",2017,"Matt Luke",6,"795.70","#001148","SEC"
"622",593,"Ole Miss",2018,"Matt Luke",5,"734.00","#001148","SEC"
"623",594,"Ole Miss",2019,"Matt Luke",4,"717.92","#001148","SEC"
"624",NA,"Nevada",2015,"Brian Polian",7,"380.53","#153E5F","Mountain West"
"625",NA,"Nevada",2016,"Brian Polian",5,"389.56","#153E5F","Mountain West"
"626",595,"Nevada",2017,"Jay Norvell",3,"341.11","#153E5F","Mountain West"
"627",596,"Nevada",2018,"Jay Norvell",8,"432.40","#153E5F","Mountain West"
"628",597,"Nevada",2019,"Jay Norvell",7,"461.96","#153E5F","Mountain West"
"629",NA,"Oregon",2015,"Mark Helfrich",9,"757.52","#044520","Pac-12"
"630",NA,"Oregon",2016,"Mark Helfrich",4,"738.29","#044520","Pac-12"
"631",598,"Oregon",2017,"Willie Taggart, Mario Cristobal",7,"720.23","#044520","Pac-12"
"632",599,"Oregon",2018,"Mario Cristobal",9,"695.81","#044520","Pac-12"
"633",600,"Oregon",2019,"Mario Cristobal",12,"817.70","#044520","Pac-12"
"634",NA,"Fresno State",2015,"Tim DeRuyter",3,"402.58","#c41230","Mountain West"
"635",NA,"Fresno State",2016,"Tim DeRuyter, Eric Kiesau",1,"404.97","#c41230","Mountain West"
"636",601,"Fresno State",2017,"Jeff Tedford",10,"374.63","#c41230","Mountain West"
"637",602,"Fresno State",2018,"Jeff Tedford",12,"459.07","#c41230","Mountain West"
"638",603,"Fresno State",2019,"Jeff Tedford",4,"482.79","#c41230","Mountain West"
"639",NA,"California",2015,"Sonny Dykes",8,"626.00","#031522","Pac-12"
"640",NA,"California",2016,"Sonny Dykes",5,"601.17","#031522","Pac-12"
"641",604,"California",2017,"Justin Wilcox",5,"603.06","#031522","Pac-12"
"642",605,"California",2018,"Justin Wilcox",7,"596.08","#031522","Pac-12"
"643",606,"California",2019,"Justin Wilcox",8,"611.58","#031522","Pac-12"
"644",607,"Liberty",2018,"Turner Gill",6,"93.99","#071740","FBS Independents"
"645",608,"Liberty",2019,"Hugh Freeze",8,"153.48","#071740","FBS Independents"
